| appname | description | site | download | version |
| hyper | A terminal built on web technologies | https://github.com/vercel/hyper/releases | https://github.com/vercel/hyper/releases/download/v4.0.0-canary.5/Hyper-4.0.0-canary.5-arm64.AppImage | v4.0.0-canary.5 |
| imhex | ImHex is a feature-rich Hex Editor aimed towards Reverse Engineers working with foreign data formats, malware, executables and raw memory. Besides all the features a common Hex Editor has, ImHex also features a custom scripting language used to declare and dissect data structures, support for running YARA rules, a node-based graphical data pre-processor and support for various data sources such as files, raw disks or GDB Servers | https://github.com/WerWolv/ImHex/releases | https://github.com/WerWolv/ImHex/releases/download/v1.37.4/imhex-1.37.4-arm64.AppImage | v1.37.4 |
| iptvnator | IPTV player application | https://github.com/4gray/iptvnator/releases | https://github.com/4gray/iptvnator/releases/download/v0.16.0/IPTVnator-0.16.0-arm64.AppImage | v0.16.0 |
| jitsi-meet | Jitsi Meet Desktop App | https://github.com/jitsi/jitsi-meet-electron/releases | https://github.com/jitsi/jitsi-meet-electron/releases/download/v2025.4.0/jitsi-meet-arm64.AppImage | v2025.4.0 |
| kopiaui | Cross-platform backup tool for Windows, macOS & Linux with fast, incremental backups, client-side end-to-end encryption, compression and data deduplication. CLI and GUI included | https://github.com/kopia/kopia/releases | https://github.com/kopia/kopia/releases/download/v0.20.1/KopiaUI-0.20.1-arm64.AppImage | v0.20.1 |
| linuxdeployqt | Bundle an application as an AppDir and/or AppImage | https://github.com/probonopd/linuxdeployqt/releases | https://github.com/probonopd/linuxdeployqt/releases/download/continuous/linuxdeployqt-continuous-aarch64.AppImage | continuous |
| lpub3d | An LDraw Building Instruction Editor | https://github.com/trevorsandy/lpub3d/releases | https://github.com/trevorsandy/lpub3d/releases/download/continuous/LPub3D-2.4.9.86.4133_20250319-aarch64.AppImage.sha512.sig | continuous |
| lumi | A tool to create and display interactive content with H5P | https://github.com/lumieducation/lumi/releases | https://github.com/Lumieducation/Lumi/releases/download/v1.0.0/Lumi-1.0.0-arm64.AppImage | v1.0.0 |
| mattermost_desktop | Mattermost | https://github.com/mattermost/desktop/releases | https://github.com/mattermost/desktop/releases/download/v5.12.1/mattermost-desktop-5.12.1-linux-arm64.AppImage | v5.12.1 |
| micropad | µPad is an open digital note taking app | https://github.com/MicroPad/Electron/releases | https://github.com/MicroPad/MicroPad-Electron/releases/download/v4.5.2/micropad-4.5.2-arm64.AppImage | v4.5.2 |
| monot | The new web browser “Monot” by monochrome | https://github.com/mncrp/monot/releases | https://github.com/mncrp/monot/releases/download/build11/Monot-2.0.0-arm64.AppImage | build11 |
| motrix | A full-featured download manager | https://github.com/agalwood/Motrix/releases | https://github.com/agalwood/Motrix/releases/download/v1.8.19/Motrix-1.8.19-arm64.AppImage | v1.8.19 |
| mqtt-explorer | Explore your message queues | https://github.com/thomasnordquist/MQTT-Explorer/releases | https://github.com/thomasnordquist/MQTT-Explorer/releases/download/v0.4.0-beta.6/MQTT-Explorer-0.4.0-beta.6-arm64.AppImage | v0.4.0-beta.6 |
| music_blocks | Visual Programming Language for Exploring Math, Music, and Programming | https://github.com/sugarlabs/musicblocks-launcher/releases | https://github.com/sugarlabs/musicblocks-launcher/releases/download/continuous/MusicBlocks-3.5.1-arm64.AppImage | continuous |
| n3h | nodejs implementation of holochain networking / p2p backend process | https://github.com/holochain/n3h/releases | https://github.com/holochain/n3h/releases/download/v0.0.20-alpha/n3h-0.0.20-alpha-linux-arm64.AppImage | v0.0.20-alpha |
| negibox | Best cross-platform downloader ever | https://github.com/hugetiny/negibox/releases | https://github.com/hugetiny/Hapee/releases/download/v0.2.7/Negibox-0.2.7-arm64.AppImage | v0.2.7 |
| neovim | Neovim is a refactor of the Vim text editor designed to encourage new features, advanced UIs, and powerful extensions | https://github.com/neovim/neovim/releases | https://github.com/neovim/neovim/releases/download/nightly/nvim-linux-arm64.appimage | nightly |
| nxshell | Powertools for PC | https://github.com/nxshell/nxshell/releases | https://github.com/nxshell/nxshell/releases/download/v1.9.0/NxShell-arm64-linux-1.9.0-202211250300.AppImage | v1.9.0 |
| obsidian | Obsidian | https://github.com/obsidianmd/obsidian-releases/releases | https://github.com/obsidianmd/obsidian-releases/releases/download/v1.8.10/Obsidian-1.8.10-arm64.AppImage | v1.8.10 |
| ocvwarp | OCVWarp tool | https://github.com/hn-88/OCVWarp/releases | https://github.com/hn-88/OCVWarp/releases/download/v4.01/OCVWarp-4.01-arm64.AppImage | v4.01 |
| onenote | P3X Onenote Linux | https://github.com/patrikx3/onenote/releases | https://github.com/patrikx3/onenote/releases/download/v2025.4.124/P3X-OneNote-2025.4.124-arm64.AppImage | v2025.4.124 |
| open_markup_editor | Pluggable markup editor | https://github.com/kettek/open-markup-editor/releases | https://github.com/kettek/open-markup-editor/releases/download/v3.1.1/Open.Markup.Editor-3.1.1-arm64.AppImage | v3.1.1 |
| openstream_music | Freeing the world of freemium streaming services | https://github.com/openstreamorg/openstreammusic/releases | https://github.com/openstreamorg/openstreammusic/releases/download/v1.2.0/OpenStreamMusic-1.2.0-arm64-raspi3-4.AppImage | v1.2.0 |
| ossia_score | An interactive sequencer for the intermedia arts | https://github.com/OSSIA/score/releases | https://github.com/ossia/score/releases/download/continuous/ossia.score-master-linux-aarch64.AppImage | continuous |
| panwriter | Markdown editor with pandoc integration and paginated preview | https://github.com/mb21/panwriter/releases | https://github.com/mb21/panwriter/releases/download/v0.8.9/PanWriter-0.8.9-arm64.AppImage | v0.8.9 |
| patchwork | A decentralized messaging and sharing app built on top of Secure Scuttlebutt (SSB) | https://github.com/ssbc/patchwork/releases | https://github.com/ssbc/patchwork/releases/download/v3.18.1/Patchwork-3.18.1-arm64.AppImage | v3.18.1 |
| pkg2appimage | pkg2appimage is a tool that lets you generate AppImage files from existing packages. An AppImage is a self-running bundle that contains an application and everything it needs to run that cannot reasonably expected to be part of each target system. This can include libraries that are not commonly available on target systems, resources such as translations, icons, fonts, and other auxiliary files. pkg2appimage makes it easy to take an existing package (e.g., a deb) and turn it into an AppImage | https://github.com/AppImage/pkg2appimage/releases | https://github.com/AppImageCommunity/pkg2appimage/releases/download/continuous/pkg2appimage-1eceb30-aarch64.AppImage | continuous |
| pnpm | 📦 pnpm in a single file, powered by AppImage | https://github.com/simnalamburt/pnpm.appimage/releases | https://github.com/simnalamburt/pnpm.appimage/releases/download/v10.12.3/pnpm-aarch64.AppImage | v10.12.3 |
| postybirb | Multimedia crossposter for multimedia websites | https://github.com/mvdicarlo/postybirb/releases | https://github.com/mvdicarlo/postybirb/releases/download/v4.0.2/PostyBirb-4.0.2-linux-arm64.AppImage | v4.0.2 |
| pulsar | A Community-led Hyper-Hackable Text Editor | https://github.com/pulsar-edit/pulsar/releases | https://github.com/pulsar-edit/pulsar/releases/download/v1.128.0/ARM.Linux.Pulsar-1.128.0-arm64.AppImage | v1.128.0 |
| python | A relocated Python 3.8 installation running from an AppImage | https://github.com/niess/python-appimage/releases | https://github.com/niess/python-appimage/releases/download/python3.9/python3.9.16-cp39-cp39-manylinux_2_24_aarch64.AppImage | python3.9 |
| qortal_ui | Qortal Project - decentralize the world - Data storage, communications, web hosting, decentralized trading, complete infrastructure for the future blockchain-based Internet | https://github.com/Qortal/qortal-ui/releases | https://github.com/Qortal/qortal-ui/releases/download/v4.6.1/Qortal-Setup-arm64.AppImage | v4.6.1 |
