| appname | description | site | download | version |
| dvc | A version control system and experiment tracker designed for machine learning projects | https://pypi.org/project/dvc | oci://ghcr.io/pkgforge/pkgcache/dvc/archive/sharun/pypi/dvc:3.59.2-x86_64-linux | 3.59.2 |
| dvc | A version control system and experiment tracker designed for machine learning projects | https://github.com/iterative/dvc | oci://ghcr.io/pkgforge/pkgcache/dvc/archive/sharun/source/dvc:HEAD-88c3103-250603T193103-x86_64-linux | HEAD-88c3103-250603T193103 |
| element-desktop | A glossy Matrix collaboration client for desktop | https://gitlab.alpinelinux.org/alpine/aports/-/tree/master/testing/element-desktop | oci://ghcr.io/pkgforge/pkgcache/element-desktop/runimage/alpine/stable/element-desktop:1.11.100-x86_64-linux | 1.11.100 |
| emailfinder | Search emails from a domain through search engines | https://github.com/Josue87/EmailFinder | oci://ghcr.io/pkgforge/pkgcache/emailfinder/archive/sharun/source/emailfinder:HEAD-0676bc0-210907T170325-x86_64-linux | HEAD-0676bc0-210907T170325 |
| falkon | Fast, lightweight web browser based on QtWebEngine | https://gitlab.alpinelinux.org/alpine/aports/-/tree/master/community/falkon | oci://ghcr.io/pkgforge/pkgcache/falkon/runimage/alpine/stable/falkon:25.04.0-x86_64-linux | 25.04.0 |
| fanficfare | Tool to make eBooks from stories on fanfiction and other websites | https://pypi.org/project/fanficfare | oci://ghcr.io/pkgforge/pkgcache/fanficfare/archive/sharun/pypi/fanficfare:4.45.0-x86_64-linux | 4.45.0 |
| fastfetch/fastfetch | Fast and feature-rich tool displaying system information | https://github.com/fastfetch-cli/fastfetch | oci://ghcr.io/pkgforge/pkgcache/fastfetch/archive/sharun/stable/fastfetch:2.44.0-x86_64-linux | 2.44.0 |
| file | Determine the type of a file from its contents | https://github.com/file/file | oci://ghcr.io/pkgforge/pkgcache/file/appimage/ppkg/stable/file:5.45-x86_64-linux | 5.45 |
| fastfetch/flashfetch | Fastfetch with minimal features & configuration [fastfetch] | https://github.com/fastfetch-cli/fastfetch | oci://ghcr.io/pkgforge/pkgcache/fastfetch/archive/sharun/stable/flashfetch:2.44.0-x86_64-linux | 2.44.0 |
| fdm | A powerful modern download accelerator and organizer | https://www.freedownloadmanager.org/download-fdm-for-linux.htm | oci://ghcr.io/pkgforge/pkgcache/fdm/runimage/debian/stable/fdm:6.27.0-x86_64-linux | 6.27.0 |
| fdm | A powerful modern download accelerator and organizer | https://www.freedownloadmanager.org/download-fdm-for-linux.htm | oci://ghcr.io/pkgforge/pkgcache/fdm/runimage/cachyos/stable/fdm:6.26.1.6177-x86_64-linux | 6.26.1.6177 |
| ffdec | Open source Flash SWF decompiler and editor | https://github.com/jindrapetrik/jpexs-decompiler | oci://ghcr.io/pkgforge/pkgcache/ffdec/runimage/cachyos/stable/ffdec:22.0.1-x86_64-linux | 22.0.1 |
